Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,12.620000,12.620000,12.620000,12.620000,6.098877,0
2002-01-03,12.690000,12.690000,12.690000,12.690000,6.132706,0
2002-01-04,12.730000,12.730000,12.730000,12.730000,6.152036,0
2002-01-07,12.710000,12.710000,12.710000,12.710000,6.142370,0
2002-01-08,12.700000,12.700000,12.700000,12.700000,6.137537,0
2002-01-09,12.680000,12.680000,12.680000,12.680000,6.127871,0
2002-01-10,12.700000,12.700000,12.700000,12.700000,6.137537,0
2002-01-11,12.680000,12.680000,12.680000,12.680000,6.127871,0
2002-01-14,12.630000,12.630000,12.630000,12.630000,6.103708,0
2002-01-15,12.660000,12.660000,12.660000,12.660000,6.118208,0
2002-01-16,12.550000,12.550000,12.550000,12.550000,6.065050,0
2002-01-17,12.590000,12.590000,12.590000,12.590000,6.084378,0
2002-01-18,12.540000,12.540000,12.540000,12.540000,6.060215,0
2002-01-22,12.500000,12.500000,12.500000,12.500000,6.040884,0
2002-01-23,12.540000,12.540000,12.540000,12.540000,6.060215,0
2002-01-24,12.560000,12.560000,12.560000,12.560000,6.069881,0
2002-01-25,12.550000,12.550000,12.550000,12.550000,6.065050,0
2002-01-28,12.570000,12.570000,12.570000,12.570000,6.074713,0
2002-01-29,12.440000,12.440000,12.440000,12.440000,6.011888,0
2002-01-30,12.490000,12.490000,12.490000,12.490000,6.036050,0
2002-01-31,12.550000,12.550000,12.550000,12.550000,6.065050,0
2002-02-01,12.530000,12.530000,12.530000,12.530000,6.055381,0
2002-02-04,12.410000,12.410000,12.410000,12.410000,5.997391,0
2002-02-05,12.380000,12.380000,12.380000,12.380000,5.982893,0
2002-02-06,12.330000,12.330000,12.330000,12.330000,5.958727,0
2002-02-07,12.300000,12.300000,12.300000,12.300000,5.944229,0
2002-02-08,12.390000,12.390000,12.390000,12.390000,5.987724,0
2002-02-11,12.460000,12.460000,12.460000,12.460000,6.021554,0
2002-02-12,12.440000,12.440000,12.440000,12.440000,6.011888,0
2002-02-13,12.490000,12.490000,12.490000,12.490000,6.036050,0
2002-02-14,12.490000,12.490000,12.490000,12.490000,6.036050,0
2002-02-15,12.450000,12.450000,12.450000,12.450000,6.016720,0
2002-02-19,12.330000,12.330000,12.330000,12.330000,5.958727,0
2002-02-20,12.390000,12.390000,12.390000,12.390000,5.987724,0
2002-02-21,12.310000,12.310000,12.310000,12.310000,5.949063,0
2002-02-22,12.350000,12.350000,12.350000,12.350000,5.968391,0
2002-02-25,12.430000,12.430000,12.430000,12.430000,6.007054,0
2002-02-26,12.430000,12.430000,12.430000,12.430000,6.007054,0
2002-02-27,12.460000,12.460000,12.460000,12.460000,6.021554,0
2002-02-28,12.450000,12.450000,12.450000,12.450000,6.016720,0
2002-03-01,12.560000,12.560000,12.560000,12.560000,6.069881,0
2002-03-04,12.690000,12.690000,12.690000,12.690000,6.132706,0
2002-03-05,12.660000,12.660000,12.660000,12.660000,6.118208,0
2002-03-06,12.730000,12.730000,12.730000,12.730000,6.152036,0
2002-03-07,12.680000,12.680000,12.680000,12.680000,6.127871,0
2002-03-08,12.700000,12.700000,12.700000,12.700000,6.137537,0
2002-03-11,12.710000,12.710000,12.710000,12.710000,6.142370,0
2002-03-12,12.690000,12.690000,12.690000,12.690000,6.132706,0
2002-03-13,12.650000,12.650000,12.650000,12.650000,6.113375,0
2002-03-14,12.630000,12.630000,12.630000,12.630000,6.103708,0
2002-03-15,12.700000,12.700000,12.700000,12.700000,6.137537,0
2002-03-18,12.710000,12.710000,12.710000,12.710000,6.142370,0
2002-03-19,12.730000,12.730000,12.730000,12.730000,6.152036,0
2002-03-20,12.620000,12.620000,12.620000,12.620000,6.098877,0
2002-03-21,12.650000,12.650000,12.650000,12.650000,6.113375,0
2002-03-22,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-03-25,12.520000,12.520000,12.520000,12.520000,6.050550,0
2002-03-26,12.570000,12.570000,12.570000,12.570000,6.074713,0
2002-03-27,12.600000,12.600000,12.600000,12.600000,6.089211,0
2002-03-28,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-04-01,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-04-02,12.570000,12.570000,12.570000,12.570000,6.074713,0
2002-04-03,12.530000,12.530000,12.530000,12.530000,6.055381,0
2002-04-04,12.540000,12.540000,12.540000,12.540000,6.060215,0
2002-04-05,12.540000,12.540000,12.540000,12.540000,6.060215,0
2002-04-08,12.550000,12.550000,12.550000,12.550000,6.065050,0
2002-04-09,12.520000,12.520000,12.520000,12.520000,6.050550,0
2002-04-10,12.580000,12.580000,12.580000,12.580000,6.079546,0
2002-04-11,12.470000,12.470000,12.470000,12.470000,6.026387,0
2002-04-12,12.510000,12.510000,12.510000,12.510000,6.045718,0
2002-04-15,12.500000,12.500000,12.500000,12.500000,6.040884,0
2002-04-16,12.620000,12.620000,12.620000,12.620000,6.098877,0
2002-04-17,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-04-18,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-04-19,12.610000,12.610000,12.610000,12.610000,6.094044,0
2002-04-22,12.540000,12.540000,12.540000,12.540000,6.060215,0
2002-04-23,12.510000,12.510000,12.510000,12.510000,6.045718,0
2002-04-24,12.490000,12.490000,12.490000,12.490000,6.036050,0
2002-04-25,12.480000,12.480000,12.480000,12.480000,6.031218,0
2002-04-26,12.420000,12.420000,12.420000,12.420000,6.002223,0
2002-04-29,12.370000,12.370000,12.370000,12.370000,5.978060,0
2002-04-30,12.430000,12.430000,12.430000,12.430000,6.007054,0
2002-05-01,12.480000,12.480000,12.480000,12.480000,6.031218,0
2002-05-02,12.450000,12.450000,12.450000,12.450000,6.016720,0
2002-05-03,12.340000,12.340000,12.340000,12.340000,5.997281,0
2002-05-06,12.240000,12.240000,12.240000,12.240000,5.948680,0
2002-05-07,12.220000,12.220000,12.220000,12.220000,5.938961,0
2002-05-08,12.390000,12.390000,12.390000,12.390000,6.021582,0
2002-05-09,12.320000,12.320000,12.320000,12.320000,5.987560,0
