Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,13.270000,13.270000,13.270000,13.270000,8.884716,0
2012-01-04,13.270000,13.270000,13.270000,13.270000,8.884716,0
2012-01-05,13.260000,13.260000,13.260000,13.260000,8.878018,0
2012-01-06,13.250000,13.250000,13.250000,13.250000,8.871325,0
2012-01-09,13.270000,13.270000,13.270000,13.270000,8.884716,0
2012-01-10,13.360000,13.360000,13.360000,13.360000,8.944973,0
2012-01-11,13.370000,13.370000,13.370000,13.370000,8.951668,0
2012-01-12,13.380000,13.380000,13.380000,13.380000,8.958364,0
2012-01-13,13.330000,13.330000,13.330000,13.330000,8.924886,0
2012-01-17,13.390000,13.390000,13.390000,13.390000,8.965058,0
2012-01-18,13.480000,13.480000,13.480000,13.480000,9.025315,0
2012-01-19,13.520000,13.520000,13.520000,13.520000,9.052098,0
2012-01-20,13.520000,13.520000,13.520000,13.520000,9.052098,0
2012-01-23,13.550000,13.550000,13.550000,13.550000,9.072184,0
2012-01-24,13.540000,13.540000,13.540000,13.540000,9.065487,0
2012-01-25,13.630000,13.630000,13.630000,13.630000,9.125747,0
2012-01-26,13.630000,13.630000,13.630000,13.630000,9.125747,0
2012-01-27,13.650000,13.650000,13.650000,13.650000,9.139135,0
2012-01-30,13.600000,13.600000,13.600000,13.600000,9.105662,0
2012-01-31,13.620000,13.620000,13.620000,13.620000,9.119051,0
2012-02-01,13.720000,13.720000,13.720000,13.720000,9.186005,0
2012-02-02,13.750000,13.750000,13.750000,13.750000,9.206091,0
2012-02-03,13.860000,13.860000,13.860000,13.860000,9.279739,0
2012-02-06,13.860000,13.860000,13.860000,13.860000,9.279739,0
2012-02-07,13.870000,13.870000,13.870000,13.870000,9.286435,0
2012-02-08,13.890000,13.890000,13.890000,13.890000,9.299826,0
2012-02-09,13.900000,13.900000,13.900000,13.900000,9.306521,0
2012-02-10,13.830000,13.830000,13.830000,13.830000,9.259653,0
2012-02-13,13.910000,13.910000,13.910000,13.910000,9.313215,0
2012-02-14,13.900000,13.900000,13.900000,13.900000,9.306521,0
2012-02-15,13.880000,13.880000,13.880000,13.880000,9.293130,0
2012-02-16,13.950000,13.950000,13.950000,13.950000,9.339997,0
2012-02-17,13.970000,13.970000,13.970000,13.970000,9.353388,0
2012-02-21,13.980000,13.980000,13.980000,13.980000,9.360084,0
2012-02-22,13.980000,13.980000,13.980000,13.980000,9.360084,0
2012-02-23,14.030000,14.030000,14.030000,14.030000,9.393559,0
2012-02-24,14.060000,14.060000,14.060000,14.060000,9.413647,0
2012-02-27,14.060000,14.060000,14.060000,14.060000,9.413647,0
2012-02-28,14.100000,14.100000,14.100000,14.100000,9.440428,0
2012-02-29,14.040000,14.040000,14.040000,14.040000,9.400254,0
2012-03-01,14.100000,14.100000,14.100000,14.100000,9.440428,0
